0.0080,0.1299,3.0652,0.0803,0.1870,0.0085,0.0032,0.0029,-28.5697,2.7785,0.4835,0.6184,0.3089,0.3331,0.2088,0.2146,0.1391,0.1362,0.0841,0.0750,0.0368,0.0006,0.0000,0.1970,0.0003,0.0096,0.0002,0.2460,0.0000,0.0001,0.0011,0.0134,0.0001,0.0844,0.0160,0.1748,0.1484,0.0173,0.0184,0.0049,0.0060,0.0006,3.1254,0.2531,0.1511,0.0878,0.0617,0.0549,0.0615,0.0536,0.0350,0.0357,0.0444,0.0533,0.0698,0.0006,0.0000,0.0503,0.0001,0.0017,0.0001,0.0417,0.0000,0.0001,0.0010,0.0042,0.0000,0.0040
0.0206,0.0157,2.8989,0.1253,0.1952,0.0797,0.0320,0.0128,-32.2319,3.5763,0.4708,-0.0570,-0.3357,-0.2282,-0.4705,-0.6032,-0.5409,-0.3570,-0.2626,-0.1079,-0.0633,0.0104,0.0019,0.0116,0.0243,0.2255,0.0082,0.0071,0.0002,0.0052,0.0048,0.0059,0.0003,0.0642,0.0125,0.0352,0.5781,0.0804,0.0731,0.1001,0.0477,0.0013,5.7076,0.8371,0.3480,0.3585,0.2671,0.2387,0.2502,0.1195,0.1933,0.1674,0.1494,0.1465,0.1014,0.0171,0.0010,0.0158,0.0263,0.1034,0.0057,0.0091,0.0002,0.0070,0.0086,0.0125,0.0003,0.0241
0.0408,0.0043,2.9367,0.2492,0.2690,0.4982,0.0191,0.0740,-38.9797,-0.4039,-0.7835,0.0131,-0.0136,-0.0282,-0.0323,0.0858,0.0291,0.0752,-0.0276,0.0597,-0.0132,0.0044,0.0021,0.0076,0.0012,0.0949,0.0021,0.0025,0.0020,0.0015,0.0050,0.0033,0.0014,0.0280,0.0569,0.0096,0.5952,0.0636,0.0703,0.5754,0.0512,0.0991,10.5574,0.6605,0.9404,0.2155,0.2433,0.0947,0.0642,0.1358,0.1841,0.1850,0.1212,0.0660,0.1105,0.0070,0.0025,0.0114,0.0013,0.0798,0.0029,0.0031,0.0024,0.0017,0.0082,0.0047,0.0018,0.0202
0.0021,0.0804,3.1303,0.0882,0.1628,0.0173,0.0382,0.0002,-28.9383,1.8202,0.5829,0.2054,0.0803,0.1286,0.0417,0.0849,0.1516,0.0535,-0.0324,-0.1191,0.0108,0.0002,0.0000,0.0054,0.0001,0.1546,0.0001,0.0272,0.0000,0.0001,0.0001,0.0006,0.0000,0.0446,0.0039,0.1317,0.2407,0.0223,0.0303,0.0094,0.0516,0.0004,3.0480,0.4952,0.4251,0.1791,0.2309,0.1437,0.2106,0.1143,0.1098,0.1278,0.1567,0.1777,0.1902,0.0002,0.0000,0.0068,0.0001,0.0179,0.0001,0.0439,0.0000,0.0001,0.0002,0.0012,0.0000,0.0013
0.2117,0.0439,3.2280,0.2543,0.1626,1.8734,0.0013,0.3393,-24.7498,-0.5811,-0.2635,-1.1244,-0.5367,-0.1048,0.1539,0.3011,0.0931,-0.3174,-0.1824,-0.1391,-0.0772,0.0034,0.0033,0.0202,0.0047,0.0049,0.0034,0.0026,0.0006,0.0019,0.0020,0.0015,0.0019,0.0054,0.0366,0.0320,0.0884,0.0193,0.0185,0.2417,0.0007,0.0582,2.2970,0.5992,0.1791,0.1271,0.1863,0.1451,0.0946,0.1578,0.1188,0.0859,0.2076,0.2134,0.1240,0.0024,0.0039,0.0220,0.0067,0.0024,0.0053,0.0021,0.0004,0.0011,0.0011,0.0015,0.0022,0.0058
0.0900,0.0500,2.6948,0.1581,0.1761,0.7039,0.0069,0.0960,-24.8930,-0.0829,-1.4692,-0.1509,0.7591,-0.1776,-0.3678,-0.2592,0.5035,0.0904,-0.3409,0.1077,0.1378,0.0090,0.0233,0.0018,0.0009,0.0006,0.0007,0.0010,0.0008,0.0019,0.0024,0.0078,0.0384,0.0153,0.0580,0.0548,0.9889,0.0414,0.0248,0.5308,0.0060,0.0620,1.8951,0.9897,0.5909,0.2542,0.3005,0.2299,0.3757,0.2829,0.1982,0.4171,0.2525,0.1696,0.2330,0.0088,0.0313,0.0010,0.0006,0.0004,0.0004,0.0005,0.0007,0.0016,0.0012,0.0046,0.0460,0.0119
0.0385,0.1285,2.9927,0.1253,0.1876,0.1035,0.0528,0.0384,-25.2212,0.2283,-2.2777,-0.2028,0.9009,0.1569,-0.9126,0.1102,0.2971,0.2618,-0.5983,0.1419,0.1278,0.0863,0.0041,0.0009,0.0005,0.0003,0.0007,0.0005,0.0004,0.0007,0.0028,0.1080,0.0056,0.0529,0.0031,0.0985,0.4318,0.0303,0.0391,0.0498,0.0618,0.0025,2.6826,0.5965,0.2630,0.4159,0.1741,0.3109,0.2434,0.2575,0.1756,0.3697,0.2434,0.2747,0.0799,0.1126,0.0051,0.0009,0.0005,0.0003,0.0005,0.0003,0.0003,0.0005,0.0018,0.1049,0.0058,0.0210
0.0130,0.0628,3.1983,0.0897,0.1826,0.0180,0.0017,0.0288,-25.6383,3.8724,0.0463,0.1530,0.3312,0.2968,-0.0561,-0.5766,-0.9876,-0.5066,0.1394,0.0271,-0.6212,0.0078,0.0002,0.0417,0.1547,0.0122,0.0062,0.0079,0.0495,0.0012,0.0158,0.0176,0.0003,0.0422,0.0021,0.0672,0.0334,0.0264,0.0291,0.0145,0.0014,0.0006,2.0348,0.4761,0.2686,0.2266,0.4240,0.1215,0.1434,0.1468,0.1914,0.2261,0.1391,0.1723,0.1958,0.0053,0.0001,0.0089,0.0229,0.0031,0.0025,0.0045,0.0150,0.0004,0.0069,0.0084,0.0002,0.0054
0.0184,0.0434,2.9902,0.0737,0.1584,0.0185,0.0034,0.0243,-25.1915,3.6301,0.3312,0.7950,0.3058,0.1059,-0.2590,0.1568,-0.5798,-0.4047,0.0123,0.0615,-0.0858,0.0166,0.0002,0.0723,0.0042,0.0725,0.0015,0.0049,0.0004,0.0044,0.0650,0.0137,0.0005,0.0310,0.0027,0.0419,0.1393,0.0212,0.0301,0.0108,0.0030,0.0082,1.9314,0.2631,0.4306,0.2284,0.2145,0.1126,0.2163,0.1663,0.2620,0.1540,0.1195,0.2328,0.1383,0.0134,0.0001,0.0147,0.0033,0.0263,0.0018,0.0029,0.0002,0.0020,0.0223,0.0148,0.0005,0.0018
0.2822,0.0224,3.1126,0.4046,0.1815,1.6272,0.0139,0.4245,-35.5904,-1.0863,0.8659,-0.0602,0.2518,0.0691,0.1029,0.0459,0.0364,0.0049,-0.0184,0.0550,0.0034,0.0027,0.0004,0.0004,0.0001,0.0191,0.0006,0.0002,0.0002,0.0002,0.0001,0.0084,0.0005,0.0074,0.1097,0.0266,0.4154,0.0290,0.0531,0.5308,0.0376,0.1509,5.3168,0.6636,0.3593,0.2430,0.2301,0.1479,0.1596,0.1098,0.0741,0.1133,0.0417,0.0934,0.0854,0.0014,0.0003,0.0004,0.0001,0.0519,0.0003,0.0001,0.0001,0.0001,0.0001,0.0034,0.0003,0.0136
